CustNum	20
DroneNum	3
#Node	X_coor	Y_coor	Demand	ReadyTime	DueTime	MIN_CRUISE_SPEED_MS	MAX_CRUISE_SPEED_MS	VERTICAL_SPEED_MS	WIND_SPEED_UNIFORM_MS	WIND_SPEED_RAYLEIGH_MS
0	0	0	0.0	0		6842	10.0	25.0	0.5	7.2820	1.8626
1	310	39	0.6	3893		5175	10.0	25.0	0.5	7.2820	1.8626
2	156	291	0.4	5066		6272	10.0	25.0	0.5	7.2820	1.8626
3	282	157	0.7	5667		6519	10.0	25.0	0.5	7.2820	1.8626
4	90	263	0.6	4115		5644	10.0	25.0	0.5	7.2820	1.8626
5	274	37	0.6	277		1333	10.0	25.0	0.5	7.2820	1.8626
6	345	53	0.2	3402		4656	10.0	25.0	0.5	7.2820	1.8626
7	403	282	0.1	5090		6147	10.0	25.0	0.5	7.2820	1.8626
8	140	323	0.7	5428		6489	10.0	25.0	0.5	7.2820	1.8626
9	243	318	0.1	2333		3570	10.0	25.0	0.5	7.2820	1.8626
10	175	470	0.2	502		1324	10.0	25.0	0.5	7.2820	1.8626
11	98	260	0.6	4347		6122	10.0	25.0	0.5	7.2820	1.8626
12	35	20	1.3	1321		3159	10.0	25.0	0.5	7.2820	1.8626
13	322	259	1.4	1494		3380	10.0	25.0	0.5	7.2820	1.8626
14	477	438	0.2	4697		6153	10.0	25.0	0.5	7.2820	1.8626
15	382	80	1.2	2043		4165	10.0	25.0	0.5	7.2820	1.8626
16	50	193	0.6	5724		6642	10.0	25.0	0.5	7.2820	1.8626
17	210	297	0.4	5830		6478	10.0	25.0	0.5	7.2820	1.8626
18	55	285	0.9	291		1806	10.0	25.0	0.5	7.2820	1.8626
19	435	263	0.1	1286		2875	10.0	25.0	0.5	7.2820	1.8626
20	452	73	1.5	458		1848	10.0	25.0	0.5	7.2820	1.8626
21	0	0	0.0	0		6842	10.0	25.0	0.5	7.2820	1.8626
