CustNum	20
DroneNum	3
#Node	X_coor	Y_coor	Demand	ReadyTime	DueTime	MIN_CRUISE_SPEED_MS	MAX_CRUISE_SPEED_MS	VERTICAL_SPEED_MS	WIND_SPEED_UNIFORM_MS	WIND_SPEED_RAYLEIGH_MS
0	0	0	0.0	0		6272	10.0	25.0	0.5	4.8898	2.8768
1	74	210	0.7	1190		2442	10.0	25.0	0.5	4.8898	2.8768
2	91	200	0.3	4658		6052	10.0	25.0	0.5	4.8898	2.8768
3	397	280	0.3	1296		2316	10.0	25.0	0.5	4.8898	2.8768
4	87	74	0.1	115		1045	10.0	25.0	0.5	4.8898	2.8768
5	303	56	0.1	1570		3096	10.0	25.0	0.5	4.8898	2.8768
6	0	147	0.6	3617		5075	10.0	25.0	0.5	4.8898	2.8768
7	458	123	0.2	4760		5797	10.0	25.0	0.5	4.8898	2.8768
8	21	46	0.5	1669		3330	10.0	25.0	0.5	4.8898	2.8768
9	38	149	1.1	2115		3856	10.0	25.0	0.5	4.8898	2.8768
10	1	432	0.8	433		1834	10.0	25.0	0.5	4.8898	2.8768
11	61	248	0.6	2313		3570	10.0	25.0	0.5	4.8898	2.8768
12	451	176	0.1	976		2623	10.0	25.0	0.5	4.8898	2.8768
13	326	26	1.1	5286		5944	10.0	25.0	0.5	4.8898	2.8768
14	391	177	0.9	2820		3885	10.0	25.0	0.5	4.8898	2.8768
15	179	43	0.1	185		1664	10.0	25.0	0.5	4.8898	2.8768
16	100	374	0.9	388		1535	10.0	25.0	0.5	4.8898	2.8768
17	0	380	0.8	380		1442	10.0	25.0	0.5	4.8898	2.8768
18	244	297	1.0	2697		3983	10.0	25.0	0.5	4.8898	2.8768
19	117	218	0.9	4908		6024	10.0	25.0	0.5	4.8898	2.8768
20	440	52	0.4	3738		5081	10.0	25.0	0.5	4.8898	2.8768
21	0	0	0.0	0		6272	10.0	25.0	0.5	4.8898	2.8768
